InventoryID	InventoryType	UpperMaterial	SoleMaterial	StockQuantity	SellingPrice
010041JT1001	Accessory			242	77.17
010048ZU4801	Accessory			777	369.6
010048ZU6001	Accessory			346	319.8
010048ZU7101	Accessory			565	295.97
010048ZU7201	Accessory			898	201.16
010048ZU8001	Accessory			340	184.01
010048ZU8601	Accessory			92	32.17
010048ZU9001	Accessory			367	116.78
010048ZUH501	Accessory			956	17.44
010049ZU6001	Accessory			455	294.89
010049ZU7201	Accessory			428	61.87
010050ZU1001	Shoes	Leather	Polyurethane	509	437.78
010050ZU6101	Shoes	Suede	Rubber	776	266.34
010052ZI1001	Shoes	Leather	Rubber	943	352.85
010147ZI8101	Shoes	Synthetic	Polyurethane	35	211.32
010148ZI1001	Shoes	Suede	Rubber	206	284.68
010154KO0001	Shoes	Suede	Rubber	81	471.9
010155Z01001	Shoes	Synthetic	Rubber	932	50.54
010156KO8001	Shoes	Suede	Polyurethane	562	134.43
010157KO8701	Shoes	Suede	Polyurethane	872	392.19
010157KOM201	Shoes	Synthetic	Polyurethane	388	58.38
010158KOD601	Shoes	Suede	Leather	2	47.07
010158KOI201	Shoes	Suede	Leather	390	187.16
011001EP10330	Shoes	Synthetic	Polyurethane	566	55.16
011001EP10335	Shoes	Suede	Rubber	106	296.69
011001EP10355	Shoes	Suede	Rubber	772	120.87
011001EP10360	Shoes	Suede	Polyurethane	822	448.89
011001EP10365	Shoes	Suede	Rubber	477	393.92
011001EP10375	Shoes	Synthetic	Rubber	703	352.86
011001EP10380	Shoes	Leather	Leather	402	312.3
011001EP10385	Shoes	Leather	Rubber	730	433.1
011001EP10390	Shoes	Suede	Rubber	556	119.3
011001EPD1330	Shoes	Synthetic	Polyurethane	162	437.82
011001EPD1335	Shoes	Synthetic	Leather	202	396.85
011001EPD1355	Shoes	Suede	Leather	958	376.6
011001EPD1360	Shoes	Leather	Rubber	996	285.02
011001EPD1365	Shoes	Suede	Polyurethane	270	130.66
011001EPD1370	Shoes	Synthetic	Leather	863	217.54
011001EPD1380	Shoes	Synthetic	Leather	816	398.85
011001EPD1385	Shoes	Leather	Rubber	271	25.57
011002AE10225	Shoes	Synthetic	Leather	456	393.2
011002AE10230	Shoes	Synthetic	Polyurethane	462	127.63
011002AE10235	Shoes	Synthetic	Polyurethane	727	80.71
011002AE10240	Shoes	Leather	Leather	252	66.69
011002AE10245	Shoes	Synthetic	Polyurethane	702	23.35
011002AE10250	Shoes	Suede	Polyurethane	296	266.56
011002AE10255	Shoes	Leather	Rubber	725	116.95
011002AE10260	Shoes	Suede	Leather	720	494.82
011002AE10265	Shoes	Suede	Leather	749	291.47
011003AE10225	Shoes	Leather	Rubber	338	77.56
011003AE10230	Shoes	Suede	Rubber	879	347.49
011003AE10235	Shoes	Leather	Rubber	53	449.89
011003AE10240	Shoes	Suede	Rubber	792	375.14
011003AE10245	Shoes	Leather	Polyurethane	922	47.46
011003AE10250	Shoes	Synthetic	Polyurethane	217	448.98
011003AE10255	Shoes	Synthetic	Rubber	764	399.03
011003AE10260	Shoes	Suede	Leather	188	87.57
011003AE10265	Shoes	Synthetic	Leather	380	35.38
011004EP40330	Shoes	Leather	Leather	493	283.08
011004EP40335	Shoes	Suede	Rubber	41	86.46
011004EP40340	Shoes	Synthetic	Polyurethane	157	418.95
011004EP40350	Shoes	Synthetic	Polyurethane	15	185.58
011004EP40355	Shoes	Suede	Polyurethane	813	457.32
011004EP40360	Shoes	Synthetic	Polyurethane	65	287.19
011004EP40370	Shoes	Synthetic	Leather	857	99.51
011004EP40385	Shoes	Suede	Leather	839	78.4
011005EP07340	Shoes	Synthetic	Polyurethane	521	292.47
011005EP07345	Shoes	Synthetic	Rubber	344	383.32
011005EP07350	Shoes	Synthetic	Polyurethane	129	392.94
011005EP07360	Shoes	Synthetic	Polyurethane	648	145.12
011005EP07365	Shoes	Suede	Rubber	472	110.08
011005EP07380	Shoes	Leather	Polyurethane	63	18.21
011005EP10335	Shoes	Leather	Leather	139	342.81
011005EP10350	Shoes	Synthetic	Rubber	499	47.52
011005EP10355	Shoes	Synthetic	Rubber	593	216.17
011005EP10360	Shoes	Leather	Polyurethane	392	304.82
011005EP10365	Shoes	Synthetic	Leather	675	469.18
011005EP10370	Shoes	Leather	Leather	419	162.78
011005EP10375	Shoes	Suede	Leather	289	132.39
011006EO02220	Shoes	Suede	Polyurethane	379	330.54
011006EO02230	Shoes	Suede	Polyurethane	773	313.43
011006EO02235	Shoes	Suede	Leather	490	172.73
011006EO02240	Shoes	Suede	Polyurethane	231	464.77
011006EO02260	Shoes	Suede	Leather	41	423.98
011006EO10215	Shoes	Leather	Polyurethane	28	119.75
011006EO10230	Shoes	Synthetic	Rubber	135	127.18
011006EO10235	Shoes	Leather	Rubber	201	261.03
011006EO10240	Shoes	Suede	Polyurethane	840	389.05
011006EO10245	Shoes	Synthetic	Polyurethane	780	31.58
011008EO01215	Shoes	Synthetic	Leather	930	349.73
011008EO01225	Shoes	Suede	Rubber	33	327.64
011008EO01230	Shoes	Suede	Leather	48	123.43
011008EO01245	Shoes	Suede	Polyurethane	503	343.86
011008EO70230	Shoes	Suede	Leather	407	470.69
011008EO70235	Shoes	Suede	Leather	574	32.93
011008EO70245	Shoes	Suede	Polyurethane	728	166.63
011008EO70260	Shoes	Synthetic	Rubber	805	224.71
011009EP70360	Shoes	Suede	Leather	99	450.64
011009EP70365	Shoes	Suede	Polyurethane	684	481.51
011010EP44350	Shoes	Synthetic	Leather	872	227.62
011010EP44355	Shoes	Leather	Polyurethane	726	377.51
011010EP44360	Shoes	Suede	Polyurethane	987	270.51
011010EP44375	Shoes	Synthetic	Polyurethane	547	273.51
011010EP44380	Shoes	Synthetic	Rubber	961	146.27
011011CU83230	Shoes	Leather	Rubber	739	116.31
011011CU83235	Shoes	Suede	Polyurethane	613	151.12
011011CU83240	Shoes	Suede	Rubber	943	282.6
011011CUM4215	Shoes	Suede	Leather	462	24.29
011011CUM4220	Shoes	Synthetic	Rubber	643	454.55
011011CUM4225	Shoes	Suede	Rubber	769	86.58
011011CUM4230	Shoes	Suede	Leather	5	117.84
011011CUM4235	Shoes	Suede	Leather	218	263.96
011011CUM4240	Shoes	Suede	Leather	503	357.96
011011CUM4245	Shoes	Leather	Polyurethane	767	56.91
011011CUM5215	Shoes	Leather	Leather	398	165.67
011011CUM5225	Shoes	Leather	Leather	871	484.65
011011CUM5235	Shoes	Suede	Leather	795	138.55
011011CUM5240	Shoes	Suede	Polyurethane	393	163.39
011011CUM5245	Shoes	Synthetic	Rubber	207	419.88
011012EP19350	Shoes	Synthetic	Polyurethane	15	34.61
011012EP19365	Shoes	Synthetic	Rubber	858	237.66
011012EP19375	Shoes	Suede	Leather	554	196.01
011012EP19380	Shoes	Leather	Polyurethane	892	165.13
011013EP30360	Shoes	Leather	Polyurethane	461	149.99
011013EP30365	Shoes	Leather	Rubber	691	54.77
011013EP30370	Shoes	Suede	Polyurethane	575	164.26
011014EP44345	Shoes	Leather	Polyurethane	864	31.1
011014EP44355	Shoes	Synthetic	Rubber	743	392.67
011014EP44360	Shoes	Synthetic	Polyurethane	241	205.13
011014EP44365	Shoes	Leather	Polyurethane	564	227.51
011014EP44370	Shoes	Synthetic	Leather	96	447.86
011014EP44375	Shoes	Leather	Leather	900	332.45
011014EP70350	Shoes	Leather	Leather	734	13.95
011014EP70355	Shoes	Synthetic	Leather	485	472.16
011014EP70360	Shoes	Synthetic	Leather	407	126.2
011014EP70365	Shoes	Synthetic	Polyurethane	231	62.73
011014EP70370	Shoes	Synthetic	Polyurethane	749	386.38
011014EP70375	Shoes	Leather	Leather	655	255.23
011015EP10340	Shoes	Synthetic	Rubber	171	222.55
011015EP10345	Shoes	Synthetic	Leather	541	132.26
011015EP10350	Shoes	Suede	Polyurethane	36	278.26
011015EP10355	Shoes	Synthetic	Rubber	525	144.45
011015EP10360	Shoes	Synthetic	Leather	160	451.78
011015EP10365	Shoes	Leather	Rubber	839	115.45
011015EP10370	Shoes	Leather	Leather	699	443.33
011015EP10375	Shoes	Suede	Polyurethane	243	284.11
011015EP10380	Shoes	Synthetic	Leather	86	415.96
011015EP19340	Shoes	Synthetic	Rubber	796	359.29
011015EP19355	Shoes	Synthetic	Polyurethane	578	351.38
011015EP19360	Shoes	Synthetic	Leather	682	168.93
011015EP19365	Shoes	Synthetic	Leather	557	124.61
011015EP19370	Shoes	Synthetic	Leather	574	113.33
011015EP19375	Shoes	Suede	Leather	953	430.02
011015EP19380	Shoes	Synthetic	Polyurethane	646	412.01
011016HH10340	Shoes	Synthetic	Polyurethane	796	225.88
011016HH10345	Shoes	Synthetic	Leather	28	74.88
011016HH10350	Shoes	Suede	Polyurethane	620	197.3
011016HH10355	Shoes	Synthetic	Rubber	556	313.48
011016HH10360	Shoes	Suede	Polyurethane	340	232.66
011016HH10365	Shoes	Leather	Rubber	798	392.29
011016HH10370	Shoes	Synthetic	Rubber	958	498.84
011016HH10375	Shoes	Suede	Polyurethane	331	103.65
011016HH10380	Shoes	Leather	Leather	640	235.23
011016HH10385	Shoes	Suede	Polyurethane	506	221.18
011016HH10390	Shoes	Suede	Rubber	348	159.2
011016HH90345	Shoes	Leather	Rubber	473	107.07
011016HH90350	Shoes	Synthetic	Polyurethane	231	42.19
011016HH90355	Shoes	Synthetic	Rubber	190	444.69
011016HH90360	Shoes	Suede	Polyurethane	225	215.73
011016HH90365	Shoes	Leather	Polyurethane	385	253.48
011016HH90370	Shoes	Synthetic	Leather	377	459.3
011016HH90375	Shoes	Suede	Rubber	283	390.38
011016HH90380	Shoes	Leather	Polyurethane	958	73.95
011016HH90385	Shoes	Suede	Rubber	633	287.06
011017AJ10215	Shoes	Leather	Polyurethane	628	226.7
011017AJ10225	Shoes	Synthetic	Polyurethane	973	400.63
011017AJ10230	Shoes	Synthetic	Leather	745	364.87
011017AJ10235	Shoes	Suede	Polyurethane	259	348.3
011017AJ10240	Shoes	Synthetic	Leather	359	176.87
011017AJ10245	Shoes	Synthetic	Rubber	710	404.43
011017AJ10250	Shoes	Leather	Leather	456	35.67
011017AJ10260	Shoes	Synthetic	Leather	411	88.22
011017AJ10265	Shoes	Leather	Rubber	649	174.46
011017AJ90215	Shoes	Leather	Leather	318	47.64
011017AJ90220	Shoes	Suede	Leather	677	125.15
011017AJ90225	Shoes	Leather	Polyurethane	225	416.77
011017AJ90230	Shoes	Synthetic	Leather	819	474.64
011017AJ90235	Shoes	Leather	Polyurethane	234	159.26
011017AJ90240	Shoes	Leather	Leather	684	139.61
011017AJ90245	Shoes	Suede	Rubber	664	147.15
011017AJ90250	Shoes	Synthetic	Rubber	975	146.08
011017AJ90255	Shoes	Synthetic	Leather	827	27.61
011017AJ90265	Shoes	Synthetic	Polyurethane	374	464.19
011018HH10360	Shoes	Leather	Leather	672	114.71
011018HH10365	Shoes	Synthetic	Polyurethane	608	215.8
011018HH10370	Shoes	Synthetic	Leather	472	14.75
011018HH10375	Shoes	Leather	Rubber	233	430.4
011018HH10380	Shoes	Suede	Rubber	692	368.27
011018HH10385	Shoes	Suede	Polyurethane	113	473.91
011018HH10390	Shoes	Leather	Leather	830	392.99
011018HH42345	Shoes	Suede	Polyurethane	497	163.72
011018HH42350	Shoes	Suede	Rubber	442	131.46
011018HH42355	Shoes	Suede	Polyurethane	564	351.88
011018HH42360	Shoes	Synthetic	Leather	268	188.42
011018HH42365	Shoes	Suede	Polyurethane	510	287.45
011018HH42370	Shoes	Synthetic	Leather	807	13.07
011018HH42375	Shoes	Suede	Leather	386	40.32
011018HH42380	Shoes	Synthetic	Rubber	387	272.33
011019HH10345	Shoes	Leather	Leather	113	287.38
011019HH10355	Shoes	Leather	Leather	613	378.21
011019HH10360	Shoes	Suede	Leather	625	74.66
011019HH10365	Shoes	Synthetic	Polyurethane	952	261.46
011019HH10370	Shoes	Leather	Rubber	81	105.28
011019HH10375	Shoes	Leather	Polyurethane	699	55.67
011019HH10380	Shoes	Leather	Polyurethane	113	211.14
011019HH10390	Shoes	Leather	Rubber	2	90.03
011019HH42350	Shoes	Suede	Polyurethane	642	118.67
011019HH42355	Shoes	Synthetic	Polyurethane	220	165.6
011019HH42365	Shoes	Leather	Leather	566	137.1
011019HH42370	Shoes	Suede	Polyurethane	855	52.92
011019HH42375	Shoes	Leather	Rubber	997	54.06
011019HH42380	Shoes	Leather	Polyurethane	736	104.69
011019HH42385	Shoes	Leather	Leather	225	34.77
011019HH42390	Shoes	Leather	Polyurethane	385	316.96
011020IM10220	Shoes	Suede	Rubber	403	150.79
011020IM10225	Shoes	Synthetic	Leather	638	147.08
011020IM10230	Shoes	Suede	Polyurethane	130	172.68
011020IM10235	Shoes	Suede	Rubber	53	334.77
011020IM10240	Shoes	Suede	Rubber	684	436.61
011020IM10245	Shoes	Leather	Polyurethane	730	381.95
011020IM10255	Shoes	Synthetic	Polyurethane	672	366.49
011020IML7220	Shoes	Leather	Leather	710	247.35
011020IML7225	Shoes	Suede	Polyurethane	416	349.96
011020IML7230	Shoes	Leather	Leather	247	280.85
011020IML7235	Shoes	Synthetic	Polyurethane	836	115.96
011020IML7240	Shoes	Synthetic	Rubber	439	112.21
011021IJ10345	Shoes	Leather	Rubber	203	155.23
011021IJ10350	Shoes	Suede	Rubber	184	456.29
011021IJ10355	Shoes	Leather	Rubber	123	278.23
011021IJ10360	Shoes	Suede	Leather	401	369.61
011021IJ10365	Shoes	Synthetic	Rubber	767	179.81
011021IJ10370	Shoes	Leather	Leather	294	209.78
011021IJ10375	Shoes	Synthetic	Leather	280	71.53
011021IJ10380	Shoes	Suede	Leather	837	93.93
011021IJ10385	Shoes	Suede	Polyurethane	884	415.4
011021IJ10390	Shoes	Leather	Leather	610	296.57
011021IJG0350	Shoes	Leather	Polyurethane	198	175.39
011021IJG0355	Shoes	Leather	Leather	982	403.4
011021IJG0360	Shoes	Synthetic	Polyurethane	907	130.79
011021IJG0365	Shoes	Suede	Polyurethane	511	488.26
011021IJG0375	Shoes	Suede	Rubber	752	178.96
011021IJG0380	Shoes	Synthetic	Leather	144	175.28
011021IJG0385	Shoes	Leather	Polyurethane	609	162.84
011021IJG0390	Shoes	Leather	Rubber	201	69.83
011022IJ10345	Shoes	Synthetic	Leather	124	64.46
011022IJ10350	Shoes	Suede	Rubber	187	327.57
011022IJ10360	Shoes	Suede	Polyurethane	326	438.81
011022IJ10365	Shoes	Suede	Rubber	464	397.36
011022IJ10375	Shoes	Suede	Rubber	349	79.14
011022IJ10380	Shoes	Synthetic	Leather	771	277.34
011022IJ10385	Shoes	Suede	Polyurethane	660	61.74
011022IJ10390	Shoes	Synthetic	Leather	764	32.19
011022IJC3345	Shoes	Leather	Leather	955	331.63
011022IJC3350	Shoes	Synthetic	Rubber	932	272.22
011022IJC3360	Shoes	Suede	Polyurethane	403	50.19
011022IJC3365	Shoes	Leather	Leather	346	27.12
011022IJC3370	Shoes	Synthetic	Polyurethane	963	494.98
011022IJC3375	Shoes	Synthetic	Leather	511	24.71
011022IJC3380	Shoes	Synthetic	Rubber	147	227.82
011022IJC3385	Shoes	Leather	Leather	148	257.26
011023HX07340	Shoes	Synthetic	Leather	864	67.47
011023HX07350	Shoes	Suede	Leather	711	92.84
011023HX07355	Shoes	Leather	Polyurethane	820	182.38
011023HX07360	Shoes	Leather	Rubber	489	383.22
011023HX07365	Shoes	Synthetic	Polyurethane	929	258.47
011023HX07370	Shoes	Suede	Leather	936	322.57
011023HX07375	Shoes	Leather	Rubber	640	492.74
011023HX07380	Shoes	Synthetic	Polyurethane	551	386.32
011023HX07385	Shoes	Suede	Leather	338	222.84
011023HX07390	Shoes	Synthetic	Rubber	872	228.76
011023HX10340	Shoes	Synthetic	Rubber	641	313.2
011023HX10345	Shoes	Leather	Leather	779	336.03
011023HX10350	Shoes	Leather	Rubber	988	255.35
011023HX10355	Shoes	Synthetic	Rubber	953	325.98
011023HX10360	Shoes	Leather	Polyurethane	473	21.53
011023HX10365	Shoes	Leather	Rubber	946	220.52
011023HX10370	Shoes	Suede	Polyurethane	151	146.68
011023HX10375	Shoes	Suede	Polyurethane	415	73.3
011023HX10380	Shoes	Synthetic	Polyurethane	990	58.78
011023HX10385	Shoes	Synthetic	Polyurethane	298	305.56
011023HX10390	Shoes	Synthetic	Rubber	611	266.56
011024HA01210	Shoes	Synthetic	Rubber	263	134.26
011024HA01215	Shoes	Suede	Polyurethane	764	240.77
011024HA01225	Shoes	Leather	Rubber	144	251.19
011024HA01230	Shoes	Suede	Polyurethane	346	105.55
011024HA01235	Shoes	Synthetic	Polyurethane	624	329.53
011024HA01240	Shoes	Synthetic	Polyurethane	572	392.65
011024HA01245	Shoes	Suede	Leather	881	397.82
011024HA01260	Shoes	Suede	Rubber	2	305.21
011024HA02215	Shoes	Synthetic	Rubber	897	260.7
011024HA02225	Shoes	Leather	Polyurethane	304	39.89
011024HA02230	Shoes	Synthetic	Rubber	254	151.04
011024HA02235	Shoes	Suede	Polyurethane	652	55.7
011024HA02240	Shoes	Synthetic	Rubber	453	482.27
011024HA02245	Shoes	Synthetic	Polyurethane	37	76.19
011024HA02250	Shoes	Leather	Polyurethane	160	84.37
011024HA02255	Shoes	Synthetic	Leather	9	445.89
011024HA02260	Shoes	Synthetic	Polyurethane	233	472.52
011024HA10235	Shoes	Synthetic	Leather	99	385.26
011024HA10245	Shoes	Suede	Rubber	659	12.65
011024HA10255	Shoes	Suede	Rubber	816	10.66
011025JM10340	Shoes	Leather	Leather	208	195.27
011025JM10350	Shoes	Synthetic	Rubber	131	80.26
011025JM10360	Shoes	Suede	Leather	404	19.01
011025JM10370	Shoes	Leather	Rubber	152	237.39
011025JM10380	Shoes	Synthetic	Leather	54	472.1
011025JM10390	Shoes	Leather	Leather	120	168.67
011025JM10400	Shoes	Leather	Polyurethane	673	333.96
011025JM41340	Shoes	Leather	Rubber	920	329.6
011025JM41350	Shoes	Leather	Polyurethane	628	133.03
011025JM41360	Shoes	Leather	Leather	587	328.71
011025JM41370	Shoes	Leather	Polyurethane	625	114.04
011025JM41380	Shoes	Leather	Leather	968	69.78
011025JM41390	Shoes	Synthetic	Rubber	420	353.68
011025JM41400	Shoes	Synthetic	Rubber	422	65.59
011027JM10340	Shoes	Leather	Rubber	104	498.49
011027JM10350	Shoes	Synthetic	Leather	852	99.89
011027JM10360	Shoes	Leather	Polyurethane	254	301.13
011027JM10370	Shoes	Synthetic	Rubber	227	211.57
011027JM10380	Shoes	Suede	Leather	112	71.93
011027JM10390	Shoes	Leather	Polyurethane	510	23.64
011027JM10400	Shoes	Suede	Leather	473	315.14
011027JM42340	Shoes	Leather	Leather	99	405.31
011027JM42350	Shoes	Leather	Rubber	153	422.59
011027JM42360	Shoes	Suede	Leather	861	246.53
011027JM42370	Shoes	Suede	Leather	914	390.95
011027JM42380	Shoes	Suede	Polyurethane	896	339.7
011027JM42390	Shoes	Leather	Rubber	878	364.88
011027JM42400	Shoes	Suede	Leather	338	251.37
011028JM10340	Shoes	Suede	Leather	706	320.37
011028JM10350	Shoes	Synthetic	Polyurethane	822	404.71
011028JM10360	Shoes	Synthetic	Leather	163	204.96
011028JM10370	Shoes	Suede	Leather	720	404.93
011028JM10380	Shoes	Suede	Leather	957	300.09
011028JM10390	Shoes	Suede	Leather	681	91.29
011028JM10400	Shoes	Suede	Leather	996	22.1
011028JM42340	Shoes	Synthetic	Polyurethane	161	187.75
011028JM42350	Shoes	Leather	Leather	580	277.88
011028JM42360	Shoes	Suede	Leather	801	421.51
011028JM42370	Shoes	Suede	Leather	398	72.47
011028JM42380	Shoes	Synthetic	Leather	277	402.1
011028JM42390	Shoes	Suede	Rubber	816	432.87
011028JM42400	Shoes	Suede	Rubber	916	83.84
011029IG10340	Shoes	Synthetic	Rubber	504	427.28
011029IG10350	Shoes	Suede	Rubber	896	495.81
011029IG10360	Shoes	Suede	Polyurethane	392	366.15
011029IG10370	Shoes	Synthetic	Rubber	135	394.54
011029IG10380	Shoes	Leather	Polyurethane	195	497.26
011029IG10400	Shoes	Suede	Rubber	401	306.69
011029IG41340	Shoes	Suede	Polyurethane	640	160.86
011029IG41350	Shoes	Leather	Rubber	33	420.39
011029IG41360	Shoes	Synthetic	Leather	688	311.1
011029IG41370	Shoes	Leather	Rubber	460	294.79
011029IG41380	Shoes	Suede	Rubber	955	134.28
011029IG41390	Shoes	Leather	Rubber	883	380.6
011030GZ07360	Shoes	Synthetic	Leather	470	50.02
011030GZ07370	Shoes	Suede	Polyurethane	375	462.9
011030GZ07380	Shoes	Synthetic	Polyurethane	22	169.65
011030GZ10360	Shoes	Synthetic	Leather	750	72.61
011030GZ10370	Shoes	Leather	Rubber	670	226.76
011030GZ10380	Shoes	Leather	Rubber	38	30.81
011030GZ10390	Shoes	Synthetic	Rubber	230	345.47
011031GZ10350	Shoes	Synthetic	Polyurethane	365	452.33
011031GZ10360	Shoes	Suede	Polyurethane	563	420.26
011031GZ10370	Shoes	Synthetic	Leather	438	72.41
011031GZ10380	Shoes	Synthetic	Leather	776	71.87
011031GZ10390	Shoes	Leather	Polyurethane	283	408.58
011031GZ10400	Shoes	Synthetic	Rubber	27	462.88
011031GZK1350	Shoes	Synthetic	Rubber	226	235.73
011031GZK1360	Shoes	Leather	Rubber	277	254.5
011031GZK1370	Shoes	Suede	Rubber	798	165.95
011031GZK1380	Shoes	Leather	Leather	609	448.19
011031GZK1390	Shoes	Leather	Leather	284	326.0
011031GZK1400	Shoes	Synthetic	Polyurethane	879	151.24
011032GZ24360	Shoes	Synthetic	Leather	960	156.4
011032GZ24370	Shoes	Suede	Rubber	481	446.69
011032GZ24380	Shoes	Synthetic	Polyurethane	453	16.68
011032GZ52350	Shoes	Suede	Leather	829	168.14
011032GZ52360	Shoes	Suede	Leather	816	281.63
011032GZ52370	Shoes	Suede	Leather	659	82.63
011032GZ52380	Shoes	Suede	Leather	516	55.13
011032GZ52390	Shoes	Synthetic	Leather	547	409.49
011032GZ52400	Shoes	Leather	Rubber	192	448.26
011033GZ01370	Shoes	Leather	Rubber	49	413.57
011033GZ01380	Shoes	Synthetic	Rubber	512	450.41
011033GZB8370	Shoes	Synthetic	Leather	17	281.02
011034GZ10370	Shoes	Suede	Polyurethane	172	408.01
011034GZ10390	Shoes	Synthetic	Rubber	220	198.18
011034GZH4360	Shoes	Leather	Rubber	158	336.47
011034GZK1360	Shoes	Synthetic	Leather	477	494.53
011034GZK1380	Shoes	Synthetic	Polyurethane	46	120.61
011035GZ10350	Shoes	Suede	Rubber	373	201.05
011035GZ10370	Shoes	Suede	Rubber	518	245.22
011035GZ10380	Shoes	Suede	Polyurethane	99	77.63
011035GZ48350	Shoes	Suede	Leather	892	49.71
011035GZ48370	Shoes	Leather	Polyurethane	745	416.56
011035GZ48380	Shoes	Synthetic	Leather	37	488.63
011036GZ35370	Shoes	Synthetic	Rubber	280	208.32
011036GZ35380	Shoes	Suede	Polyurethane	349	52.95
011036GZ60350	Shoes	Leather	Polyurethane	497	42.25
011036GZ60360	Shoes	Leather	Rubber	302	446.75
011036GZ60370	Shoes	Synthetic	Rubber	181	237.27
011036GZ60380	Shoes	Suede	Leather	607	166.81
011037GZ10350	Shoes	Synthetic	Rubber	99	243.47
011037GZ10360	Shoes	Synthetic	Rubber	700	165.97
011037GZ10370	Shoes	Leather	Polyurethane	993	249.63
011037GZ10380	Shoes	Leather	Leather	116	431.18
011037GZ10390	Shoes	Synthetic	Rubber	191	300.23
011037GZ10400	Shoes	Suede	Polyurethane	253	350.38
011037GZ23350	Shoes	Suede	Rubber	981	188.69
011037GZ23360	Shoes	Synthetic	Rubber	928	371.87
011037GZ23370	Shoes	Synthetic	Rubber	983	336.64
011037GZ23380	Shoes	Suede	Rubber	161	68.59
011037GZ23390	Shoes	Suede	Leather	256	290.59
011037GZ23400	Shoes	Suede	Polyurethane	323	135.8
011038GZ73350	Shoes	Synthetic	Polyurethane	128	404.01
011038GZ73360	Shoes	Leather	Rubber	18	218.71
011038GZ73370	Shoes	Suede	Polyurethane	793	497.4
011038GZ73380	Shoes	Suede	Rubber	735	55.33
011039HE10350	Shoes	Suede	Polyurethane	566	392.37
011039HE10360	Shoes	Synthetic	Leather	570	340.11
011039HE10370	Shoes	Leather	Leather	323	386.07
011039HE10380	Shoes	Leather	Polyurethane	872	160.69
011039HE10390	Shoes	Suede	Rubber	686	251.11
011039HE90350	Shoes	Synthetic	Rubber	792	400.29
011039HE90360	Shoes	Leather	Rubber	626	123.95
011039HE90370	Shoes	Synthetic	Rubber	288	120.76
011039HE90380	Shoes	Leather	Leather	943	280.01
011039HE90390	Shoes	Suede	Rubber	854	266.55
011039HE90400	Shoes	Synthetic	Rubber	663	148.31
011040HE42370	Shoes	Suede	Rubber	962	156.06
011040HE42380	Shoes	Leather	Rubber	639	146.14
011040HE90360	Shoes	Leather	Leather	155	388.04
011040HE90370	Shoes	Suede	Polyurethane	490	329.43
011040HE90380	Shoes	Leather	Polyurethane	386	417.88
011041HE01360	Shoes	Suede	Rubber	986	487.98
011041HE01370	Shoes	Suede	Rubber	785	242.34
011041HE01380	Shoes	Suede	Polyurethane	104	42.68
011041HE01390	Shoes	Leather	Leather	929	33.57
011041HE01400	Shoes	Synthetic	Leather	393	154.88
